# PDF systematics from CT10 only at this point
signal_1000_600,pdf,0.0809,0.0864,0.0875,0.0826,0.1042,0.1023,0.1423,0.0784,0.1243,0.0000
signal_1100_600,pdf,0.0877,0.0944,0.0960,0.1062,0.0992,0.0914,0.1758,0.1590,0.2998,0.0000
signal_1200_700,pdf,0.0902,0.1007,0.1068,0.1135,0.1117,0.1116,0.1712,0.1303,0.2842,0.1819
signal_1300_700,pdf,0.1094,0.1065,0.1185,0.1202,0.1208,0.1267,0.1539,0.1283,0.1925,0.1002
signal_1400_800,pdf,0.1179,0.1179,0.1235,0.1287,0.1351,0.1331,0.1849,0.2120,0.2612,0.2314
signal_1500_800,pdf,0.1141,0.1254,0.1353,0.1422,0.1452,0.1601,0.1826,0.1724,0.2005,0.1977
signal_1600_900,pdf,0.1244,0.1240,0.1421,0.1523,0.1568,0.1671,0.1922,0.1932,0.2296,0.3132
signal_1700_900,pdf,0.1453,0.1293,0.1556,0.1627,0.1721,0.1786,0.1823,0.1963,0.2516,0.3866
signal_1800_1000,pdf,0.1665,0.1527,0.1617,0.1823,0.1844,0.1943,0.2040,0.2234,0.2211,0.2785
signal_1900_1000,pdf,0.1762,0.1706,0.1460,0.1717,0.2004,0.2092,0.2140,0.2247,0.2097,0.2091
signal_2000_1100,pdf,0.1786,0.1682,0.1886,0.1873,0.2077,0.2246,0.2312,0.2464,0.2611,0.2891
signal_2100_1100,pdf,0.1955,0.1787,0.1717,0.2030,0.2167,0.2331,0.2452,0.2519,0.2695,0.2867
signal_2200_1200,pdf,0.3008,0.2202,0.1947,0.2122,0.2483,0.2603,0.2597,0.2756,0.2857,0.2845
signal_2300_1200,pdf,0.2764,0.2649,0.2489,0.2196,0.2317,0.2620,0.2843,0.2911,0.3084,0.3340
signal_2400_1300,pdf,0.2477,0.2969,0.2386,0.2297,0.2355,0.2935,0.3071,0.3250,0.3250,0.3448
signal_2500_1300,pdf,0.2589,0.3998,0.2345,0.2326,0.2412,0.2636,0.3036,0.3299,0.3447,0.3636
# Flattened Systematic at high mass
ttjets,pdf,0.0025,0.0035,0.0037,0.0031,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028

ttjets,fact,1.067,1.038,1.054,1.086,1.086,1.086,1.086,1.086,1.086,1.086
ttjets,ren,1.061,1.030,1.034,1.072,1.072,1.072,1.072,1.072,1.072,1.072

# Raw shape systematics (to be combined with any other channel-dependent systematics)
ttjets,shape,1.037,1.101,1.166,1.226,1.291,1.369,1.459,1.560,1.676,1.828
zjets,shape,1.018,1.042,1.071,1.095,1.119,1.150,1.184,1.227,1.281,1.365
other,shape,1.097,1.310,1.483,1.617,1.718,1.792,1.848,1.889,1.920,1.942


# normalization systematics
ttjets,norm,1.080,1.080,1.080,1.080,1.080,1.080,1.080,1.080,1.080,1.080
zjets,norm,1.014,1.014,1.014,1.014,1.014,1.014,1.014,1.014,1.015,1.015
# Jet Energy Scale
ttjets,jes,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084
zjets,jes,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033
Other,jes,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100,1.100
signal_1000_600,jes,1.013,1.013,1.013,1.013,1.013,1.013,1.013,1.013,1.013,1.013
signal_1100_600,jes,1.064,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016,1.016
signal_1200_700,jes,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011
signal_1300_700,jes,1.070,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011,1.011
signal_1400_800,jes,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009,1.009
signal_1500_800,jes,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007
signal_1600_900,jes,1.006,1.006,1.006,1.006,1.006,1.006,1.006,1.006,1.006,1.006
signal_1700_900,jes,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007
signal_1800_1000,jes,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007,1.007
